,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_structural_break_6.0,2,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,3,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,4,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,5,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,6,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,7,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,8,0.889301061630249,1.3364768473214224
NP_structural_break_6.0,9,0.889301061630249,1.3364768473214224
NP_structural_break_7.0,0,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,1,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,2,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,3,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,4,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,5,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,6,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,7,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,8,0.8817377090454102,1.340030890649616
NP_structural_break_7.0,9,0.8817377090454102,1.340030890649616
NP_structural_break_8.0,0,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,1,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,2,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,3,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,4,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,5,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,6,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,7,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,8,0.8757311701774597,1.3428625236783156
NP_structural_break_8.0,9,0.8757311701774597,1.3428625236783156
NP_structural_break_9.0,0,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,1,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,2,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,3,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,4,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,5,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,6,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,7,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,8,0.8708592057228088,1.3451670338741994
NP_structural_break_9.0,9,0.8708592057228088,1.3451670338741994
NP_trend_1.0,0,1.0685876607894897,1.323248763965438
NP_trend_1.0,1,1.0685876607894897,1.323248763965438
NP_trend_1.0,2,1.0685876607894897,1.323248763965438
NP_trend_1.0,3,1.0685876607894897,1.323248763965438
NP_trend_1.0,4,1.0685876607894897,1.323248763965438
NP_trend_1.0,5,1.0685876607894897,1.323248763965438
NP_trend_1.0,6,1.0685876607894897,1.323248763965438
NP_trend_1.0,7,1.0685876607894897,1.323248763965438
NP_trend_1.0,8,1.0685876607894897,1.323248763965438
NP_trend_1.0,9,1.0685876607894897,1.323248763965438
NP_trend_10.0,0,1.0685874223709106,1.323249169362923
NP_trend_10.0,1,1.0685874223709106,1.323249169362923
NP_trend_10.0,2,1.0685874223709106,1.323249169362923
NP_trend_10.0,3,1.0685874223709106,1.323249169362923
