model,norm_mode,scaler,weighted,MAE,RMSE,MASE,exp_id,data_group_id,scaling_level,norm_type,norm_affine
LightGBMModel,none,MinMaxScaler(),None,0.3359,0.4207,0.8725,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3382,0.4237,0.8784,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.3382,0.4237,0.8784,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3376,0.4228,0.8768,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.3432,0.4276,0.8914,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.3432,0.4276,0.8914,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.3417,0.4301,0.8874,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3344,0.4176,0.8684,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.3344,0.4176,0.8684,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3397,0.4229,0.8823,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.3089,0.3981,0.8592,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.3089,0.3981,0.8592,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),None,0.3089,0.3981,0.8592,"gen_one_shape_heteroscedacity_LGBM_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,None,None,0.3933,0.4978,1.2887,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.3911,0.4966,1.2814,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.3911,0.4966,1.2814,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.3915,0.4961,1.283,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.3925,0.4972,1.2862,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.3925,0.4972,1.2862,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),None,0.3939,0.5,1.2907,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3929,0.4983,1.2874,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.3929,0.4983,1.2874,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3942,0.4997,1.2918,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.4025,0.5094,1.3188,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.4025,0.5094,1.3188,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.4039,0.5098,1.3235,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.351,0.4334,1.1503,"gen_one_shape_heteroscedacity_LGBM_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]_None",HET,per_time_series,None,False
