,MAE,RMSE
RNN_amplitude_4.0,1.6083631125483326,1.6137010499926128
RNN_amplitude_5.0,1.6089603236377963,1.6143014070065127
RNN_amplitude_6.0,1.6094420708975372,1.6148019352216727
RNN_amplitude_7.0,1.6099266371633179,1.6152010018694467
RNN_amplitude_8.0,1.6102904248016479,1.6156007439299183
RNN_amplitude_9.0,1.6106580298754738,1.6159003396063354
RNN_heteroscedasticity_0.0,2.166191899582499,2.1316336512381002
RNN_heteroscedasticity_1.0,2.4198782285228826,2.333305888855123
RNN_heteroscedasticity_2.0,2.5926503770145204,2.458185808967975
RNN_heteroscedasticity_3.0,2.735664761798783,2.5658739337014307
RNN_heteroscedasticity_4.0,2.818929704952323,2.6229625612221494
RNN_heteroscedasticity_5.0,2.884802269756927,2.6667553566989564
RNN_heteroscedasticity_6.0,2.9380079479982597,2.701249768061996
RNN_heteroscedasticity_7.0,2.9816982125191447,2.7287435309398345
RNN_heteroscedasticity_8.0,3.018446553925485,2.7515406373480134
RNN_heteroscedasticity_9.0,3.049468056798165,2.7706376458529167
RNN_offset_0.0,1.6038855116196107,1.6030306322105023
RNN_offset_1.0,2.0274194378542485,2.0543662918640004
RNN_offset_2.0,4.036213191192956,3.981123219342209
RNN_offset_3.0,6.8802021019701955,6.138897414317635
RNN_offset_4.0,10.50750431967168,9.053432227094786
RNN_offset_5.0,14.87450574338867,12.540620617740803
RNN_offset_6.0,19.86003106638562,16.484531857809053
RNN_offset_7.0,25.286505794380115,20.753788241116233
RNN_offset_8.0,30.99472110008156,25.24214889542844
RNN_offset_9.0,36.87447155196117,29.87602061045982
RNN_structural_break_0.0,2.3255873222700596,2.2030625135095505
RNN_structural_break_1.0,,
RNN_structural_break_2.0,,
RNN_structural_break_3.0,,
RNN_structural_break_4.0,,
RNN_structural_break_5.0,,
RNN_structural_break_6.0,,
RNN_structural_break_7.0,,
RNN_structural_break_8.0,3.5892396532700515,2.87791446919793
RNN_structural_break_9.0,3.5888232238079305,2.8510114235249358
RNN_trend_0.0,4.087969142044603,4.213442660339406
RNN_trend_1.0,5.675602288089884,5.532049260882781
RNN_trend_2.0,7.837162976119152,7.198386608433101
RNN_trend_3.0,10.317984692862781,9.095131718561213
RNN_trend_4.0,12.942085468054668,11.115901430386307
RNN_trend_5.0,15.677701938674026,13.241780742515607
RNN_trend_6.0,18.48230357531411,15.437651867762948
RNN_trend_7.0,21.343552512762933,17.689839283746583
RNN_trend_8.0,24.250671760989047,19.98692634591407
RNN_trend_9.0,27.198405351932536,22.323110370021915
SNaive_amplitude_0.0,2.0169204087662354,2.025265040420169
SNaive_amplitude_1.0,1.9995900684771017,2.0109324671302446
SNaive_amplitude_2.0,1.9978183819664288,2.0095285732055266
SNaive_amplitude_3.0,1.997215523553079,2.008926772982857
SNaive_amplitude_4.0,1.9967866734865924,2.0086257801872605
SNaive_amplitude_5.0,1.9966285235616963,2.008526171373981
SNaive_amplitude_6.0,1.996481998144785,2.008326776684315
SNaive_amplitude_7.0,1.9963389845280461,2.0082255785115697
SNaive_amplitude_8.0,1.9963257901644982,2.008225226793977
SNaive_amplitude_9.0,1.9961925245895642,2.008124694844363
SNaive_heteroscedasticity_0.0,2.5152127853569253,2.483455710119434
SNaive_heteroscedasticity_1.0,2.7366358949847713,2.650720293587943
SNaive_heteroscedasticity_2.0,2.8756764400041734,2.743095754444146
SNaive_heteroscedasticity_3.0,2.971029433826169,2.8014807225314478
SNaive_heteroscedasticity_4.0,3.0405783356726355,2.8415677752536266
SNaive_heteroscedasticity_5.0,3.0935574952468694,2.870659589357642
SNaive_heteroscedasticity_6.0,3.1351732401473758,2.8928532981821933
SNaive_heteroscedasticity_7.0,3.1688581260148863,2.9101464248132856
SNaive_heteroscedasticity_8.0,3.1966001457544437,2.924143186505298
SNaive_heteroscedasticity_9.0,3.2198170813937774,2.935539886451035
SNaive_offset_0.0,2.0169204087662354,2.025265040420169
SNaive_offset_1.0,2.0169185602626984,2.0252639361570384
SNaive_offset_2.0,2.0169189960884304,2.0252644271226656
SNaive_offset_3.0,2.0169191764301675,2.025264100373818
SNaive_offset_4.0,2.0169187856897777,2.025263800091647
SNaive_offset_5.0,2.0169202735097644,2.0252648260699626
SNaive_offset_6.0,2.016918184551012,2.025263629953475
SNaive_offset_7.0,2.0169199579114014,2.0252647475235994
SNaive_offset_8.0,2.016918935974525,2.025264389924451
SNaive_offset_9.0,2.0169193718004195,2.0252640906433164
SNaive_structural_break_0.0,2.728265299521108,2.5815732540285543
SNaive_structural_break_1.0,2.969808535123713,2.6998541262634346
SNaive_structural_break_2.0,3.1382667643795754,2.7607408155650535
SNaive_structural_break_3.0,3.262493482614132,2.796133019460573
SNaive_structural_break_4.0,3.357672535624099,2.8183264658039957
SNaive_structural_break_5.0,3.4331870238292015,2.833222059426499
SNaive_structural_break_6.0,3.4943474567868407,2.8437185696301177
SNaive_structural_break_7.0,3.545027256267309,2.8513158162602625
SNaive_structural_break_8.0,3.587670723929111,2.857014364119145
SNaive_structural_break_9.0,3.6239534656918475,2.8614114651961597
SNaive_trend_0.0,2.0205450977911052,2.0295650553969264
SNaive_trend_1.0,2.022420074815932,2.031664992675423
SNaive_trend_2.0,2.0250463065487483,2.0344657919830307
SNaive_trend_3.0,2.0281689867211767,2.037763941517893
SNaive_trend_4.0,2.0319204195749996,2.041665566363801
SNaive_trend_5.0,2.036422359928554,2.046267008334996
SNaive_trend_6.0,2.041546607202459,2.051266340984205
SNaive_trend_7.0,2.047172888522531,2.056967359332103
SNaive_trend_8.0,2.053548319841677,2.0631678809735523
SNaive_trend_9.0,2.060422748693757,2.069967871220375
TF_amplitude_0.0,1.4830002980782104,1.4884212926064575
TF_amplitude_1.0,1.4967275601530858,1.5077993239965535
TF_amplitude_2.0,1.4922785852176603,1.5040962347472442
TF_amplitude_3.0,1.4924508477672749,1.5062950544936178
TF_amplitude_4.0,1.4932838955865475,1.5100945621522344
TF_amplitude_5.0,1.491886025013,1.5057945908373846
TF_amplitude_6.0,1.4983599892303165,1.510095325561854
TF_amplitude_7.0,1.5028394943858834,1.5163948233141242
TF_amplitude_8.0,1.4944673342563115,1.510094164861762
TF_amplitude_9.0,1.5029480043208412,1.516094142123533
TF_heteroscedasticity_0.0,2.0243465578038173,1.996025148724431
TF_heteroscedasticity_1.0,2.2786074198307964,2.2027999663042945
TF_heteroscedasticity_2.0,2.4151996175214725,2.294180083948347
TF_heteroscedasticity_3.0,2.5357313307217564,2.3835686807145375
TF_heteroscedasticity_4.0,2.6058835680865293,2.4258578600071257
TF_heteroscedasticity_5.0,2.691209550917357,2.489751682443991
TF_heteroscedasticity_6.0,2.7152438471999485,2.494445957890509
TF_heteroscedasticity_7.0,2.7756581323111136,2.538940503061218
TF_heteroscedasticity_8.0,2.818727723918311,2.5662379006223777
TF_heteroscedasticity_9.0,2.844663323344216,2.579735051976745
TF_offset_0.0,1.4830002980782104,1.4884212926064575
TF_offset_1.0,1.5698811999367155,1.5882285600765358
TF_offset_2.0,1.6586389760816471,1.6799363906378222
TF_offset_3.0,1.729145038327884,1.7483416622752006
TF_offset_4.0,1.8925333765066037,1.8997536490316982
TF_offset_5.0,2.1371804261759597,2.1452745930584545
TF_offset_6.0,2.48195696269219,2.5087026891206814
TF_offset_7.0,2.9736255757306624,3.0123450427217593
TF_offset_8.0,3.744688652976131,3.7296027304060315
TF_offset_9.0,4.436872588567032,4.25834501899128
TF_structural_break_0.0,2.190789781244651,2.0767589295530113
TF_structural_break_1.0,2.3328323981507304,2.1315427328433625
TF_structural_break_2.0,2.394406546107129,2.1160312839988604
TF_structural_break_3.0,2.598103086972115,2.2402264547747133
TF_structural_break_4.0,2.607025417917869,2.1984206445103447
TF_structural_break_5.0,2.6454310594549884,2.192817073242421
TF_structural_break_6.0,2.696674607939445,2.20571440342974
TF_structural_break_7.0,2.9633022946197287,2.4001133134381707
TF_structural_break_8.0,2.952568126716313,2.3593118618362965
TF_structural_break_9.0,2.8083621743868488,2.2289089308645136
TF_trend_0.0,2.588092876295814,2.620413106411268
TF_trend_1.0,2.7979852957429965,2.883634181580268
TF_trend_2.0,3.3624094393012958,3.396076751912685
TF_trend_3.0,4.156721337368457,4.0960295324277745
TF_trend_4.0,4.981667818387088,4.813590352202913
TF_trend_5.0,5.667729708682676,5.442944231886622
TF_trend_6.0,6.598929689204347,6.2411061028453165
TF_trend_7.0,7.61989351777005,7.0907769210115115
TF_trend_8.0,8.66885665303592,7.96844839652015
TF_trend_9.0,9.79882154675473,8.901321883555934
TP_amplitude_0.0,1.455622984980417,1.4585188558336744
TP_amplitude_1.0,2.0929716862095655,2.0887375924250193
TP_amplitude_2.0,2.1941675425308267,2.1896400970605656
TP_amplitude_3.0,2.233371499464736,2.2287406442998785
TP_amplitude_4.0,2.25427954180781,2.2496408725572525
TP_amplitude_5.0,2.2670976121756987,2.2625421281201428
TP_amplitude_6.0,2.27593456090086,2.2712433734327995
TP_amplitude_7.0,2.2822791291703566,2.2776424257059404
TP_amplitude_8.0,2.287131610175957,2.2824423261350995
TP_amplitude_9.0,2.2909909954586745,2.286241964583515
TP_localST_amplitude_0.0,1.4703742313070818,1.4734200701451952
TP_localST_amplitude_1.0,1.470385954081495,1.4735970709749429
TP_localST_amplitude_2.0,1.470059799088949,1.4732942639824735
TP_localST_amplitude_3.0,1.4698587591626184,1.4731929655919191
TP_localST_amplitude_4.0,1.4698187190260101,1.473092245066385
TP_localST_amplitude_5.0,1.4697941797501117,1.473092536563371
TP_localST_amplitude_6.0,1.4697781951833577,1.4730929897699412
TP_localST_amplitude_7.0,1.4697647941108016,1.4730921155059717
TP_localST_amplitude_8.0,1.469755080023578,1.4729918512747613
TP_localST_amplitude_9.0,1.4697488539181387,1.472991465655509
TP_localST_heteroscedasticity_0.0,2.082813275741267,2.0508285848435244
TP_localST_heteroscedasticity_1.0,2.4715911208789767,2.390508484793111
TP_localST_heteroscedasticity_2.0,2.730609127718314,2.601090797414956
TP_localST_heteroscedasticity_3.0,2.9120217656268865,2.740878976338328
TP_localST_heteroscedasticity_4.0,3.0454172384658014,2.8401677418609275
TP_localST_heteroscedasticity_5.0,3.1474385456651555,2.9140604902766563
TP_localST_heteroscedasticity_6.0,3.227900839562809,2.9711547408148213
TP_localST_heteroscedasticity_7.0,3.2926737120628733,3.0162481174261475
TP_localST_heteroscedasticity_8.0,3.346320589157346,3.0530450902502215
TP_localST_heteroscedasticity_9.0,3.391268688672857,3.083541897418418
TP_localST_offset_0.0,1.4703742313070818,1.4734200701451952
TP_localST_offset_1.0,1.4708729255021018,1.4736192829625183
TP_localST_offset_2.0,1.4709982538101254,1.4738196564370512
TP_localST_offset_3.0,1.4713734167957775,1.474219451069599
TP_localST_offset_4.0,1.4728732572825685,1.475819361905705
TP_localST_offset_5.0,1.4766246603878355,1.4798204351072655
TP_localST_offset_6.0,1.4793733603555643,1.4828198035316857
TP_localST_offset_7.0,1.4789996294812071,1.4825205973675293
TP_localST_offset_8.0,1.4809990476317219,1.484620506070242
TP_localST_offset_9.0,1.4811243781511945,1.4843202623736163
TP_localST_structural_break_0.0,2.4974475922858197,2.3513667217498897
TP_localST_structural_break_1.0,3.1024775623587066,2.7996561270787135
TP_localST_structural_break_2.0,3.572516460504654,3.118446103980173
TP_localST_structural_break_3.0,3.933587532171378,3.3449395003017313
TP_localST_structural_break_4.0,4.2142793574950455,3.5103329641669685
TP_localST_structural_break_5.0,4.437863491075869,3.63532830461427
TP_localST_structural_break_6.0,4.619471457788104,3.7324243729252213
TP_localST_structural_break_7.0,4.769368016669505,3.8097211325383933
TP_localST_structural_break_8.0,4.895216436669094,3.8724194692387033
TP_localST_structural_break_9.0,5.002419848803576,3.9242157236746937
TP_localST_trend_0.0,1.4699987505367569,1.4730197940741763
TP_localST_trend_1.0,1.469373566533964,1.4725195841571708
TP_localST_trend_2.0,1.4691242789407304,1.4723199817909933
TP_localST_trend_3.0,1.4691224070480318,1.4723184504822546
